Created date (UTC),Amount,Amount Refunded,Description,Statement Descriptor,Status,Seller Message,Taxes On Fee,Card ID,Customer ID,Shipping Address City,Shipping Address State,Invoice ID
2024-11-10 19:37:12,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1PxYwaHsrWBJzFX21F322Mdg,cus_QpDMIwnCIbNe0W,São Paulo,SP,in_1QJg0NHsrWBJzFX23wMLF0WJ
2024-11-10 18:55:01,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJgHTHsrWBJzFX2E6oeElz8,cus_R03BoF4GDm57su,Vitória,ES,in_1QJHrAHsrWBJzFX2vJE6m8UI
2024-11-10 18:41:26,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJg4fHsrWBJzFX2srLKP5AX,cus_Qy8mvAX7Nrrdfx,Gov. Valadares,MG,in_1QHRHzHsrWBJzFX2K8cyiYRh
2024-11-10 18:34:13,32.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1PQC5WHsrWBJzFX2LFAJIcHW,cus_QGjYBIgunKs57j,MairiporÃ,SP,in_1QJf1KHsrWBJzFX2xrVxqvuL
2024-11-10 18:17:02,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8Px3HsrWBJzFX2nxASVhTj,cus_R0QoJti1xQM6Lr,São Paulo,SP,in_1QJejsHsrWBJzFX2H8Y9ydoK
2024-11-10 18:15:27,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8Q5CHsrWBJzFX2MswaUdCn,cus_R0QoGRYHxj2Qis,São Paulo,SP,in_1QJej7HsrWBJzFX2MQxbBm2A
2024-11-10 17:54:45,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8Pc8HsrWBJzFX2Dj3VC512,cus_R0QTGDupdAbamb,Duque de Caxias,RJ,in_1QJeOnHsrWBJzFX2neUFjV6d
2024-11-10 17:39:33,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8PNjHsrWBJzFX2AVJfJ35b,cus_R0QExjeLPlSYKg,Rio Bonito,RJ,in_1QJe9tHsrWBJzFX2bur5tKBS
2024-11-10 16:29:51,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8OHUHsrWBJzFX2mcg2Pg1Q,cus_R0P5w4HJcHMKU8,Rio de Janeiro,RJ,in_1QJd4fHsrWBJzFX29xoSW2pC
2024-11-10 16:22:30,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8OAqHsrWBJzFX2sbD5iYew,cus_R0OyWsJQ35Z284,Araraquara,SP,in_1QJcxXHsrWBJzFX2QpovmRed
2024-11-10 16:06:31,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q6JcjHsrWBJzFX2pbd0FHtU,cus_QyG92fxBsuIJE6,São Paulo,SP,in_1QHYOwHsrWBJzFX2EY9h4RFU
2024-11-10 15:52:53,59.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJdRXHsrWBJzFX2qKnbPb3P,cus_RC1UzB1huhrZ4X,Barueri,SP,in_1QJdRYHsrWBJzFX22Vav1bbI
2024-11-10 15:25:04,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8NHQHsrWBJzFX29YfUBbRt,cus_R0O3wHFp8jTnRr,Belo Horizonte,MG,in_1QJc3hHsrWBJzFX27daWCmni
2024-11-10 15:20:25,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8NDGHsrWBJzFX2vzSoierS,cus_R0NzRy6Uo2Q3Bz,BraganÇa Paulista,SP,in_1QJbzSHsrWBJzFX2YuZr3UZA
